obs_date,mars_equities_portfolio,mars_bonds_portfolio,mars_commodities_portfolio,mars_inflation_portfolio
10/19/2006,0.000604558,-0.000850408,0.012489686,-0.00167163
10/20/2006,0.001290598,-6.72E-05,-0.006064808,0.000697552
10/23/2006,0.004584619,-0.001898561,-0.007124049,-0.000498862
10/24/2006,0.002019927,0.000250345,0.008912937,0.001219991
10/25/2006,0.002989764,0.001813357,0.023593958,0.003105995
10/26/2006,0.002547273,0.00296696,-0.010088179,-0.000860104
10/27/2006,-0.005505035,0.001894534,-0.000652302,-0.003606661
10/30/2006,-0.00262161,0.000488863,-0.026319258,-0.0008918
10/31/2006,-0.000229909,0.002926926,0.001329055,-0.002818745
11/1/2006,-0.004526175,0.001688285,0.005608128,0.000444338
11/2/2006,-0.001346082,-0.001267797,0.000920076,0.00327333
11/3/2006,-0.000535679,-0.004286631,0.011403601,0.003683124
11/6/2006,0.01054372,-0.000918631,0.001040786,0.000122954
11/7/2006,0.003885303,0.00220213,-0.001878978,-0.003278433
11/8/2006,0.000187749,0.001319452,0.006605506,0.001173383
11/9/2006,-0.003701735,0.000684259,0.015789053,0.000167276
11/10/2006,-0.000959401,0.001567384,-0.020046106,-0.001567142
11/13/2006,0.002050545,-0.000301253,-0.008905763,-0.004295603
11/14/2006,0.005531662,0.00026767,0.002050969,-0.000124349
11/15/2006,0.003358661,-0.00157767,0.008673848,0.001929446
11/16/2006,0.001373106,-0.001496896,-0.020885243,-0.004462596
11/17/2006,-0.001825859,0.001908398,0.00693674,-0.002852623
11/20/2006,-0.001154749,0.001120778,0.000447545,0.000895867
11/21/2006,0.001269859,0.000558739,0.01459232,-0.001146632
11/22/2006,0.001786753,0.000484364,-0.014055921,0.000561041
11/23/2006,-2.35E-06,-0.000222396,0.001460762,0.004729531
11/24/2006,-0.005095308,0.000838872,0.006752659,-0.001998561
11/27/2006,-0.011950551,8.99E-05,0.010897025,-0.000544513
11/28/2006,0.001213031,0.001419222,0.007290954,-0.001927886
11/29/2006,0.010812249,-0.001243555,0.016212668,0.00132426
11/30/2006,2.66E-05,0.002619577,0.009806983,-0.000964141
12/1/2006,-0.003007422,0.00235936,-0.006946727,0.001865194
12/4/2006,0.006040556,-0.000391293,-0.023019494,-0.002345306
12/5/2006,0.005047309,-0.00023277,-0.000698695,-0.000160297
12/6/2006,-0.000430205,-0.001700144,-0.008669154,-0.000842897
12/7/2006,-0.001706193,-0.000924876,-0.002226539,-0.00241063
12/8/2006,3.31E-05,-0.002870914,-0.004765605,0.004683168
12/11/2006,0.004233893,0.001338838,-0.005490373,-0.000917648
12/12/2006,9.24E-05,0.001396663,-0.004045218,-0.002584407
12/13/2006,0.002048813,-0.002497993,0.004618127,0.001545826
12/14/2006,0.007974668,-0.001334754,0.008009509,3.26E-06
12/15/2006,0.000811686,-0.000980375,-0.004074566,-0.004967865
12/18/2006,-0.001706985,-0.000477061,-0.018325239,-0.004926851
12/19/2006,-0.001493588,0.000218319,0.005791569,0.003325365
12/20/2006,0.001109084,0.000503159,-0.003951789,-0.001922852
12/21/2006,-0.00288029,0.001484422,-0.007065862,0.000170253
12/22/2006,-0.005529889,-0.002237447,-0.002211061,0.001552804
12/26/2006,0.004397436,0.000646845,-0.019432952,0.002035077
12/27/2006,0.007502029,-0.003344584,-0.005991524,-0.004240185
12/28/2006,-0.001442154,-0.001730086,0.004196057,0.002726492
12/29/2006,-0.002900326,-0.000579053,0.003566454,-0.0029031
1/2/2007,0.002426392,0.000669944,-0.003345056,0.001635813
1/3/2007,-0.001823071,0.000576665,-0.029696811,-0.000973597
1/4/2007,9.91E-05,0.001108051,-0.020449395,-0.003236774
