obs_date,mars_equities_portfolio,mars_bonds_portfolio,mars_commodities_portfolio,mars_inflation_portfolio
11/30/1967,0.018466816,0.002740023,0.011141646,-0.003794138
12/31/1967,-0.014881611,0.006521551,-0.002920155,0.001272542
1/31/1968,-0.018369269,-0.001098306,-0.004686013,0.001593324
2/29/1968,0.013713134,-0.009835728,-0.008447925,0.009881133
3/31/1968,0.066820652,0.003459216,-0.015140176,-0.004911142
4/30/1968,0.02361002,-0.006919043,-0.012073075,0.005671835
5/31/1968,0.007893038,0.009688747,-0.024365891,-0.006033131
6/30/1968,-0.013524388,0.014368633,-0.034647245,0.001671567
7/31/1968,0.017080661,-0.002259276,-0.013226589,0.002249009
8/31/1968,0.008761052,-0.002963396,-0.010202753,0.008886351
9/30/1968,-0.000968742,-0.004586101,0.061665478,0.005978345
10/31/1968,0.035575904,-0.008305841,0.026037003,0.005988857
11/30/1968,-0.011811005,-0.018956784,0.004066022,0.001482637
12/31/1968,0.009542651,-0.002026376,-0.005091983,0.004459415
1/31/1969,-0.028767392,-0.005751645,0.002318941,0.006454794
2/28/1969,0.016532691,-0.003367801,-0.010515983,0.003727956
3/31/1969,0.027603497,0.002417963,0.017189198,-0.000599664
4/30/1969,0.001035445,-0.018851234,0.011655207,0.004604406
5/31/1969,-0.050980368,-0.006215472,-0.018013132,-0.003350058
6/30/1969,-0.050194356,0.002322088,-0.018321126,-0.00430292
7/31/1969,0.025910336,-0.008777337,0.00713372,0.003480461
8/31/1969,-0.008043793,-0.032270269,0.046572046,0.011587599
9/30/1969,0.043621443,0.025882605,0.036614827,-0.000963945
10/31/1969,-0.013897752,-0.01758632,-0.017023095,0.005430342
11/30/1969,0.006646838,-0.025104085,-0.012589761,0.001314602
12/31/1969,-0.047724619,0.00294143,0.015578137,-0.002647426
1/31/1970,0.025396387,0.035815595,0.024125798,-0.006429042
2/28/1970,-0.009853933,-0.011773313,0.008361012,0.007639948
3/31/1970,-0.099531401,-0.033925617,-0.008554043,0.007934464
4/30/1970,-0.06701297,-0.006206145,-0.035567164,-0.000284835
5/31/1970,-0.032251821,0.009975928,0.062235411,-0.00663119
6/30/1970,0.056177161,0.017634354,-0.015915455,-0.005640956
7/31/1970,0.028632829,-0.006428635,0.044177702,0.007982939
8/31/1970,0.029250105,0.009908971,0.007191983,0.002922833
9/30/1970,-0.018303466,-0.002901909,-0.008471925,0.00441866
10/31/1970,0.019222416,0.038798343,-0.01846604,-0.01104346
11/30/1970,0.044687053,0.005564096,0.004741328,0.004115009
12/31/1970,0.036996688,0.023409261,0.045862138,0.009756833
1/31/1971,0.007734101,-2.17E-05,-0.012749248,0.008755198
2/28/1971,0.032840785,0.0318364,0.007330625,-0.007566089
3/31/1971,0.032565292,-0.023077424,0.003112635,0.005030292
4/30/1971,-0.024875259,-0.012733159,0.033013215,0.009881362
